EjV,k_tt,b_tt,eps_tt,cash_tt,maxof7_overJ,ktp_opti,btp_opti,consumption_opti,prob ib,prob is,prob fb2,prob fs,prob ibfb2,prob fbis2,prob none,kn ib,kn is,kn fb2,kn fs,kn ibfb2,kn fbis2,kn none,bn ib,bn is,bn fb2,bn fs,bn ibfb2,bn fbis2,bn none,cc ib,cc is,cc fb2,cc fs,cc ibfb2,cc fbis2,cc none,jV ib,jV is,jV fb2,jV fs,jV ibfb2,jV fbis2,jV none,btp_fb_opti,bn_fb ib,bn_fb is,bn_fb fb2,bn_fb fs,bn_fb ibfb2,bn_fb fbis2,bn_fb none,btp_ib_opti,bn_ib ib,bn_ib is,bn_ib fb2,bn_ib fs,bn_ib ibfb2,bn_ib fbis2,bn_ib none,btp_fs_opti,bn_fs ib,bn_fs is,bn_fs fb2,bn_fs fs,bn_fs ibfb2,bn_fs fbis2,bn_fs none,btp_il_opti,bn_il ib,bn_il is,bn_il fb2,bn_il fs,bn_il ibfb2,bn_il fbis2,bn_il none
-0.860967078,0,29.65303282,-0.0625,29.65303282,1,0,25.05563798,9.795010939,0.134379776,0.16045924,0.135476081,0.140743457,0.133624611,0.159263715,0.13605312,16.66666667,0,17.32465011,3.27633698,16.66666667,0,19.76868854,0,25.05563798,0,15.04202711,0,24.90215798,0,12.88036615,9.795010939,12.1483827,11.64919815,12.70036615,9.735010939,9.884344272,-4.451604061,-4.185549042,-4.439416316,-4.382200805,-4.460057286,-4.196766851,-4.43304088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04202711,0,0,0,25.05563798,0,25.05563798,0,0,0,24.90215798,0
-0.860967078,0,29.65303282,0.998160172,29.65303282,1,0,25.05563798,9.795010939,0.134379776,0.16045924,0.135476081,0.140743457,0.133624611,0.159263715,0.13605312,16.66666667,0,17.32465011,3.27633698,16.66666667,0,19.76868854,0,25.05563798,0,15.04202711,0,24.90215798,0,12.88036615,9.795010939,12.1483827,11.64919815,12.70036615,9.735010939,9.884344272,-4.451604061,-4.185549042,-4.439416316,-4.382200805,-4.460057286,-4.196766851,-4.43304088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04202711,0,0,0,25.05563798,0,25.05563798,0,0,0,24.90215798,0
-0.693825448,0,34.41253299,-1.123160172,34.41253299,1,3.793836999,21.56585565,13.48919822,0.135816189,0.159649589,0.134367533,0.140770819,0.134991953,0.158581108,0.13582281,22.22222222,3.793836999,20.12234914,3.805170332,22.22222222,0,22.94168866,0,21.56585565,0,17.46995979,0,28.96042513,0,12.08431077,13.48919822,14.11018385,13.52949452,11.90431077,11.321511,11.47084433,-4.180470321,-3.937951941,-4.196555717,-4.126724199,-4.189601207,-3.948024679,-4.180397208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46995979,0,0,0,21.56585565,0,21.56585565,0,0,0,28.96042513,0
-0.693825448,0,34.41253299,-0.0625,34.41253299,1,3.793836999,21.56585565,13.48919822,0.135816189,0.159649589,0.134367533,0.140770819,0.134991953,0.158581108,0.13582281,22.22222222,3.793836999,20.12234914,3.805170332,22.22222222,0,22.94168866,0,21.56585565,0,17.46995979,0,28.96042513,0,12.08431077,13.48919822,14.11018385,13.52949452,11.90431077,11.321511,11.47084433,-4.180470321,-3.937951941,-4.196555717,-4.126724199,-4.189601207,-3.948024679,-4.180397208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46995979,0,0,0,21.56585565,0,21.56585565,0,0,0,28.96042513,0
-0.693825448,0,34.41253299,0.998160172,34.41253299,1,3.793836999,21.56585565,13.48919822,0.135816189,0.159649589,0.134367533,0.140770819,0.134991953,0.158581108,0.13582281,22.22222222,3.793836999,20.12234914,3.805170332,22.22222222,0,22.94168866,0,21.56585565,0,17.46995979,0,28.96042513,0,12.08431077,13.48919822,14.11018385,13.52949452,11.90431077,11.321511,11.47084433,-4.180470321,-3.937951941,-4.196555717,-4.126724199,-4.189601207,-3.948024679,-4.180397208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46995979,0,0,0,21.56585565,0,21.56585565,0,0,0,28.96042513,0
-0.55353217,0,39.31481817,-1.123160172,39.31481817,1,0,33.29392029,13.01560606,0.134533451,0.159753101,0.134667867,0.14145679,0.133991722,0.158950106,0.136646964,22.22222222,0,27.77777778,4.349868686,22.22222222,0,26.20987878,0,33.29392029,-1.728395062,19.97073046,0,33.14044029,0,16.98659595,13.01560606,12.86261101,15.46619977,16.80659595,12.95560606,13.10493939,-3.980489033,-3.722764091,-3.978991088,-3.905216898,-3.986541311,-3.730322812,-3.957107306,0,0,0,-1.728395062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97073046,0,0,0,33.29392029,0,33.29392029,0,0,0,33.14044029,0
-0.55353217,0,39.31481817,-0.0625,39.31481817,1,0,33.29392029,13.01560606,0.134533451,0.159753101,0.134667867,0.14145679,0.133991722,0.158950106,0.136646964,22.22222222,0,27.77777778,4.349868686,22.22222222,0,26.20987878,0,33.29392029,-1.728395062,19.97073046,0,33.14044029,0,16.98659595,13.01560606,12.86261101,15.46619977,16.80659595,12.95560606,13.10493939,-3.980489033,-3.722764091,-3.978991088,-3.905216898,-3.986541311,-3.730322812,-3.957107306,0,0,0,-1.728395062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97073046,0,0,0,33.29392029,0,33.29392029,0,0,0,33.14044029,0
-0.55353217,0,39.31481817,0.998160172,39.31481817,1,0,33.29392029,13.01560606,0.134533451,0.159753101,0.134667867,0.14145679,0.133991722,0.158950106,0.136646964,22.22222222,0,27.77777778,4.349868686,22.22222222,0,26.20987878,0,33.29392029,-1.728395062,19.97073046,0,33.14044029,0,16.98659595,13.01560606,12.86261101,15.46619977,16.80659595,12.95560606,13.10493939,-3.980489033,-3.722764091,-3.978991088,-3.905216898,-3.986541311,-3.730322812,-3.957107306,0,0,0,-1.728395062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97073046,0,0,0,33.29392029,0,33.29392029,0,0,0,33.14044029,0
-0.423687746,0,44.36417191,-1.123160172,44.36417191,1,0,33.33333333,18.03414428,0.135804145,0.158896991,0.135571608,0.140698596,0.135237013,0.158301632,0.135490015,27.77777778,0,27.77777778,4.91090799,27.77777778,0,29.57611461,0,33.33333333,0,22.54652424,0,33.33333333,0,16.48039413,18.03414428,16.40639413,17.46100619,16.30039413,17.85414428,14.7880573,-3.768126793,-3.532563189,-3.770697443,-3.715017415,-3.774404065,-3.538193988,-3.771600474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54652424,0,0,0,33.33333333,0,33.33333333,0,0,0,33.33333333,0
-0.423687746,0,44.36417191,-0.0625,44.36417191,1,0,33.33333333,18.03414428,0.135804145,0.158896991,0.135571608,0.140698596,0.135237013,0.158301632,0.135490015,27.77777778,0,27.77777778,4.91090799,27.77777778,0,29.57611461,0,33.33333333,0,22.54652424,0,33.33333333,0,16.48039413,18.03414428,16.40639413,17.46100619,16.30039413,17.85414428,14.7880573,-3.768126793,-3.532563189,-3.770697443,-3.715017415,-3.774404065,-3.538193988,-3.771600474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54652424,0,0,0,33.33333333,0,33.33333333,0,0,0,33.33333333,0
-0.423687746,0,44.36417191,0.998160172,44.36417191,1,0,33.33333333,18.03414428,0.135804145,0.158896991,0.135571608,0.140698596,0.135237013,0.158301632,0.135490015,27.77777778,0,27.77777778,4.91090799,27.77777778,0,29.57611461,0,33.33333333,0,22.54652424,0,33.33333333,0,16.48039413,18.03414428,16.40639413,17.46100619,16.30039413,17.85414428,14.7880573,-3.768126793,-3.532563189,-3.770697443,-3.715017415,-3.774404065,-3.538193988,-3.771600474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54652424,0,0,0,33.33333333,0,33.33333333,0,0,0,33.33333333,0
-0.313508125,0,49.56500626,-1.123160172,49.56500626,1,0,38.88888889,18.89130736,0.135205454,0.159549408,0.134967809,0.14095991,0.134625833,0.158984101,0.135707485,33.33333333,0,33.33333333,5.488778473,33.33333333,0,33.0433375,0,38.88888889,0,25.19959183,0,38.88888889,0,16.12567292,18.89130736,16.05167292,19.51565679,15.94567292,18.71130736,16.52166875,-3.606529581,-3.358192374,-3.609168394,-3.544009554,-3.612973854,-3.363516535,-3.600970258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19959183,0,0,0,38.88888889,0,38.88888889,0,0,0,38.88888889,0
-0.313508125,0,49.56500626,-0.0625,49.56500626,1,0,38.88888889,18.89130736,0.135205454,0.159549408,0.134967809,0.14095991,0.134625833,0.158984101,0.135707485,33.33333333,0,33.33333333,5.488778473,33.33333333,0,33.0433375,0,38.88888889,0,25.19959183,0,38.88888889,0,16.12567292,18.89130736,16.05167292,19.51565679,15.94567292,18.71130736,16.52166875,-3.606529581,-3.358192374,-3.609168394,-3.544009554,-3.612973854,-3.363516535,-3.600970258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19959183,0,0,0,38.88888889,0,38.88888889,0,0,0,38.88888889,0
-0.313508125,0,49.56500626,0.998160172,49.56500626,1,0,38.88888889,18.89130736,0.135205454,0.159549408,0.134967809,0.14095991,0.134625833,0.158984101,0.135707485,33.33333333,0,33.33333333,5.488778473,33.33333333,0,33.0433375,0,38.88888889,0,25.19959183,0,38.88888889,0,16.12567292,18.89130736,16.05167292,19.51565679,15.94567292,18.71130736,16.52166875,-3.606529581,-3.358192374,-3.609168394,-3.544009554,-3.612973854,-3.363516535,-3.600970258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19959183,0,0,0,38.88888889,0,38.88888889,0,0,0,38.88888889,0
-0.209880554,0,54.92186563,-1.123160172,54.92186563,1,0,44.44444444,19.90449547,0.135349407,0.159468944,0.13518086,0.140533867,0.134938573,0.158938355,0.135589994,33.33333333,0,33.33333333,5.555555556,33.33333333,0,33.33333333,0,44.44444444,0,27.77777778,0,44.44444444,0,21.4825323,19.90449547,21.4085323,22.30991533,21.3025323,19.72449547,21.5885323,-3.446676838,-3.200692498,-3.448545919,-3.390293538,-3.4512368,-3.205691655,-3.444012923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,44.44444444,0,44.44444444,0,0,0,44.44444444,0
-0.209880554,0,54.92186563,-0.0625,54.92186563,1,0,44.44444444,19.90449547,0.135349407,0.159468944,0.13518086,0.140533867,0.134938573,0.158938355,0.135589994,33.33333333,0,33.33333333,5.555555556,33.33333333,0,33.33333333,0,44.44444444,0,27.77777778,0,44.44444444,0,21.4825323,19.90449547,21.4085323,22.30991533,21.3025323,19.72449547,21.5885323,-3.446676838,-3.200692498,-3.448545919,-3.390293538,-3.4512368,-3.205691655,-3.444012923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,44.44444444,0,44.44444444,0,0,0,44.44444444,0
