"","prod_type_st","prod_type_lvl","statesid","cash_tt","EjV"
"91","A2504",2504,5475,34.1597580619493,-0.761781844699963
"92","A2504",2504,5769,30.7211857724663,-0.869542973474162
"93","A2504",2504,5962,59.6673621951943,-0.223444035650937
"94","A2504",2504,5991,89.8157716146544,0.133814081408486
"95","A2504",2504,6170,6.9838688584119,-2.53113837457826
"96","A2504",2504,6737,84.2458797725849,0.0839084025451794
"97","A2504",2504,6746,94.7131617016046,0.172810127051242
"98","A2504",2504,6988,40.919551279354,-0.583022651122198
"99","A2504",2504,7067,5.99011924599393,-2.72258803192721
"100","A2504",2504,7081,10.6939313940842,-2.02272446321966
"101","A4145",4145,526,32.9489697078741,-0.763028775127627
"102","A4145",4145,555,54.1933017139486,-0.289813157689597
"103","A4145",4145,905,1.86052070237032,-4.10059587671033
"104","A4145",4145,953,20.4528763631162,-1.2436929168288
"105","A4145",4145,1017,64.7206634899153,-0.12843796247188
"106","A4145",4145,1047,96.2866960061004,0.200779052115191
"107","A4145",4145,1142,43.5944346351714,-0.493117587849791
"108","A4145",4145,1167,64.7923949732589,-0.1274425409004
"109","A4145",4145,1450,49.6806642774371,-0.370397531206593
"110","A4145",4145,1614,62.2971660852966,-0.162784579038477
"111","A4145",4145,1627,73.817228026147,-0.0114799071495218
"112","A4145",4145,1790,87.4878295467055,0.130404274012623
"113","A4145",4145,1799,98.2691299335958,0.214994098206734
"114","A4145",4145,1842,17.1218445280933,-1.42920395646237
"115","A4145",4145,2013,27.2440794403049,-0.951467822660376
"116","A4145",4145,2227,73.8396865926745,-0.011213167678122
"117","A4145",4145,2463,27.3681844484833,-0.946887202877774
"118","A4145",4145,2511,59.9699926405636,-0.19722032420236
"119","A4145",4145,2538,86.337522232386,0.120113895161441
"120","A4145",4145,2567,5.91203332673814,-2.6072497624553
"121","A4145",4145,2592,17.3295009793848,-1.41631429331751
"122","A4145",4145,2757,24.3484465593098,-1.06480053903401
"123","A4145",4145,2888,13.8919848406076,-1.65204110228645
"124","A4145",4145,2980,76.9617932252362,0.02471704147751
"125","A4145",4145,2986,83.4417268257631,0.0928821920391047
"126","A4145",4145,3004,1.30919418891658,-4.73708956452609
"127","A4145",4145,3207,24.4528196796956,-1.06046242389489
"128","A4145",4145,3371,30.2800698636111,-0.8461533756742
"129","A4145",4145,3446,94.7174574322017,0.189141118465557
"130","A4145",4145,4291,43.0483942651477,-0.505000768231301
"131","A4145",4145,4307,55.4266382775452,-0.269204737960926
"132","A4145",4145,4405,21.4152945151521,-1.19578299123512
"133","A4145",4145,4444,45.2255190855719,-0.458276804344641
"134","A4145",4145,4469,65.9788221357347,-0.111168034829283
"135","A4145",4145,4761,60.4525749390112,-0.189958406381695
"136","A4145",4145,5107,2.28185998564504,-3.79324372499649
"137","A4145",4145,5134,11.9335597115447,-1.81666525773413
"138","A4145",4145,5211,60.5351112000218,-0.188726465470431
"139","A4145",4145,5349,50.9144762333563,-0.347454264512448
"140","A4145",4145,5364,63.1575053110057,-0.150393531221997
"141","A4145",4145,5475,34.7535358617221,-0.710700016207035
"142","A4145",4145,5769,31.3229354827132,-0.812856186743651
"143","A4145",4145,5962,59.7399680931532,-0.20071524835793
"144","A4145",4145,5991,90.4214605226978,0.15534660717981
"145","A4145",4145,6170,7.19627404792768,-2.38170562160175
"146","A4145",4145,6737,84.4622727815528,0.102710944591324
"147","A4145",4145,6746,94.9295547105724,0.190733205883725
"148","A4145",4145,6988,40.995381186127,-0.551626364923431
"149","A4145",4145,7067,6.2104408514849,-2.55166636683876
"150","A4145",4145,7081,10.7702127190433,-1.92870089922705
"151","A5633",5633,526,32.9969522904605,-0.726858148165672
"152","A5633",5633,555,54.593579361755,-0.259982797703514
"153","A5633",5633,905,2.0153415232752,-3.75821802865769
"154","A5633",5633,953,20.6076971840211,-1.18600687222253
"155","A5633",5633,1017,65.1678289244887,-0.102370232426161
"156","A5633",5633,1047,96.7338614406738,0.22013799119712
"157","A5633",5633,1142,43.7532399333821,-0.462008840919702
"158","A5633",5633,1167,65.2510686824661,-0.101248152394964
"159","A5633",5633,1450,49.7380229643782,-0.34443990648422
"160","A5633",5633,1614,62.7844121460327,-0.135219915503157
"161","A5633",5633,1627,73.8756357950477,0.00713978989643773
"162","A5633",5633,1790,87.6593559159031,0.148415157038354
"163","A5633",5633,1799,98.4406563027934,0.232234839077219
"164","A5633",5633,1842,17.6249456339194,-1.34272534144033
"165","A5633",5633,2013,27.7544569571103,-0.89314013258869
"166","A5633",5633,2227,73.9016975123737,0.00744582795028189
"167","A5633",5633,2463,27.8984728112795,-0.888082623039915
"168","A5633",5633,2511,60.5002810033598,-0.168039496464772
"169","A5633",5633,2538,86.8678105951823,0.141430386540839
"170","A5633",5633,2567,6.09775531434677,-2.45586972181155
"171","A5633",5633,2592,17.8659175467008,-1.32876173589628
"172","A5633",5633,2757,24.8907859505212,-0.999421040575663
"173","A5633",5633,2888,14.081744791668,-1.57137819491398
"174","A5633",5633,2980,77.0274932752101,0.0428878695215477
"175","A5633",5633,2986,83.507426875737,0.110209776613318
"176","A5633",5633,3004,1.37556267851589,-4.34392425415345
"177","A5633",5633,3207,25.0119042220988,-0.994667644321383
"178","A5633",5633,3371,30.4754737615109,-0.802864085208832
"179","A5633",5633,3446,94.9128613301016,0.20680370918835
"180","A5633",5633,4291,43.1195953169873,-0.475492164494013
"181","A5633",5633,4307,55.6322866464262,-0.243097997320721
"182","A5633",5633,4405,21.4870522636376,-1.14423789471485
"183","A5633",5633,4444,45.2972768340575,-0.430030196525678
"184","A5633",5633,4469,66.1860783988006,-0.0887427358587547
"185","A5633",5633,4761,61.0602866222952,-0.159857381861575
"186","A5633",5633,5107,2.3562956911697,-3.54347649244836
"187","A5633",5633,5134,12.0079954170694,-1.73554371756919
"188","A5633",5633,5211,61.1560646275816,-0.158470514407293
"189","A5633",5633,5349,51.5397512268039,-0.311962582820196
"190","A5633",5633,5364,63.7827803044533,-0.121268278053824
"191","A5633",5633,5475,35.3830918961275,-0.660481295509166
"192","A5633",5633,5769,31.9609437771165,-0.757348973393466
"193","A5633",5633,5962,59.8169488782398,-0.178173706307094
"194","A5633",5633,5991,91.063645372278,0.176960427677186
"195","A5633",5633,6170,7.42147776697856,-2.24430166720184
"196","A5633",5633,6737,84.6917046071464,0.121522584812175
"197","A5633",5633,6746,95.1589865361661,0.208631505774685
"198","A5633",5633,6988,41.0757802435111,-0.520561833938681
"199","A5633",5633,7067,6.44403799219949,-2.39756044886929
"200","A5633",5633,7081,10.851090394933,-1.84153984884061
"201","A7274",7274,526,33.0588321158471,-0.683915357829483
"202","A7274",7274,555,55.1097898201599,-0.223949475944875
"203","A7274",7274,905,2.21500325149791,-3.41645033252708
"204","A7274",7274,953,20.8073589122438,-1.1183397521432
"205","A7274",7274,1017,65.7445073256661,-0.0707044325864515
"206","A7274",7274,1047,97.3105398418512,0.243746587926257
"207","A7274",7274,1142,43.9580401670093,-0.424553680869721
"208","A7274",7274,1167,65.8425885112294,-0.0694252795007214
"209","A7274",7274,1450,49.8119945044871,-0.313062212180279
"210","A7274",7274,1614,63.4127797647269,-0.10182337125075
"211","A7274",7274,1627,73.9509602637605,0.0297632087998188
"212","A7274",7274,1790,87.8805616368753,0.170297798309248
"213","A7274",7274,1799,98.6618620237656,0.253187857844327
"214","A7274",7274,1842,18.2737604100774,-1.24239225864866
"215","A7274",7274,2013,28.4126556183485,-0.8241788040754
