"","prod_type_st","prod_type_lvl","statesid","cash_tt","EjV"
"76","A2504",2504,3004,1.24659748016492,-5.9502796905905
"77","A2504",2504,3207,23.9255084137673,-1.34564128746653
"78","A2504",2504,3371,30.0957709446568,-1.09530570970666
"79","A2504",2504,3446,94.5331585132475,0.0100907024701791
"80","A2504",2504,4291,42.9812396330065,-0.722174823405764
"81","A2504",2504,4307,55.2326770900928,-0.471452859478784
"82","A2504",2504,4405,21.347614823935,-1.47343458147104
"83","A2504",2504,4444,45.1578393943549,-0.672030137140834
"84","A2504",2504,4469,65.7833444321675,-0.302429003158833
"85","A2504",2504,4761,59.8794000562744,-0.39269182453344
"86","A2504",2504,5107,2.21165452809159,-4.56906617917753
"87","A2504",2504,5134,11.8633542539913,-2.16501904170001
"88","A2504",2504,5211,59.9494471132245,-0.391575070554326
"89","A2504",2504,5349,50.3247361791402,-0.56348784134347
"90","A2504",2504,5364,62.5677652567896,-0.350330606977326
"91","A2504",2504,5475,34.1597580619493,-0.960147026521022
"92","A2504",2504,5769,30.7211857724663,-1.07323322158117
"93","A2504",2504,5962,59.6673621951943,-0.39609708153088
"94","A2504",2504,5991,89.8157716146544,-0.0287413230926351
"95","A2504",2504,6170,6.9838688584119,-2.83887764212838
"96","A2504",2504,6737,84.2458797725849,-0.0801676178050095
"97","A2504",2504,6746,94.7131617016046,0.0114992149186345
"98","A2504",2504,6988,40.919551279354,-0.77263240341714
"99","A2504",2504,7067,5.99011924599393,-3.04645699560819
"100","A2504",2504,7081,10.6939313940842,-2.29474487017754
"101","A4145",4145,526,32.9489697078741,-0.964639756887218
"102","A4145",4145,555,54.1933017139486,-0.467960295045537
"103","A4145",4145,905,1.86052070237032,-4.5575929340648
"104","A4145",4145,953,20.4528763631162,-1.47104906818353
"105","A4145",4145,1017,64.7206634899153,-0.299057403325391
"106","A4145",4145,1047,96.2866960061004,0.0388352209913075
"107","A4145",4145,1142,43.5944346351714,-0.681207633219398
"108","A4145",4145,1167,64.7923949732589,-0.298003968124809
